"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"D1","PCB-pc8w7ghvx4b2ajkb2zkc-1","603mil","2048mil","603mil","2048mil","603mil","2110.008mil","T","270.00","1N4148W-7-F"
"C9","C0805","1002mil","1519.153mil","1002mil","1519.153mil","1037mil","1519.153mil","T","270.00","10uF"
"C19","PCB-bgadz4xbubbd3co6jzoj-1","1008.339mil","1621mil","1008.339mil","1621mil","1049.677mil","1621mil","T","270.00","0.1uF"
"D4","ONSC-SOT-23-3-318-08_V","1008.339mil","1766mil","1008.339mil","1766mil","1045.74mil","1805.37mil","T","270.00","SZNUP2105LT3G"
"R25","PCB-3656032-1","802mil","1889mil","802mil","1889mil","762.63mil","1889mil","T","360.00","10k"
"R36","PCB-3656032-1","1008.339mil","1889mil","1008.339mil","1889mil","1047.709mil","1889mil","T","180.00","68K"
"U6","D8_M","721mil","1696mil","721mil","1696mil","624.543mil","1771mil","T","360.00","SN65HVD234DR"
"Y1","PCB-ng6ugelxrx25tzpfucaw-1","380mil","984.622mil","380mil","985mil","380mil","1032.244mil","T","270.00","8MHz"
"R37","PCB-3656032-1","666mil","309mil","666mil","309mil","705.37mil","309mil","T","180.00","100k"
"C25","PCB-aqwsx5blceswzrofzfmv-1","382mil","837mil","382mil","837mil","382mil","802mil","T","90.00","1uF"
"C26","C0805","296mil","837mil","296mil","837mil","296mil","802mil","T","180.00","0.01uF"
"R1","PCB-3656032-1","213mil","837mil","213mil","837mil","213mil","876.37mil","T","270.00","0R"
"R12","PCB-3656032-1","762mil","1424mil","762mil","1424mil","722.63mil","1424mil","T","360.00","1k"
"R17","PCB-3656032-1","1383mil","80mil","1383mil","80mil","1422.37mil","80mil","T","180.00","1k"
"R10","PCB-3656032-1","1006.37mil","1424mil","1006.37mil","1424mil","1045.74mil","1424mil","T","180.00","1k"
"RESET","SW4SMD_63X161LS","1173mil","132mil","1173mil","132mil","1092.29mil","100.5mil","T","360.00","ITT / C&K Components KMR231GLFS"
"R27","PCB-3656032-1","762mil","1519.153mil","762mil","1519.153mil","722.63mil","1519.153mil","T","360.00","10k"
"LED1","PCB-12518653-1","1504.951mil","354.976mil","1505mil","354.976mil","1532.854mil","293.953mil","T","270.00","Würth Elektronik 150141M173100"
"R28","PCB-3656032-1","432mil","556mil","432mil","556mil","392.63mil","556mil","T","360.00","10k"
"UART3","PCB-7hc2nr5bn4tgoucwa5ir-1","1342mil","1228mil","1342mil","1178mil","1342mil","1178mil","T","90.00","Header_6x1"
"S1","PCB-zwg2jkdfv3v80rwiptuy-1","2060.61mil","282.287mil","2061mil","282mil","1949mil","183.575mil","T","90.00","C&K Components AYZ0202AGRLC"
"C24","PCB-bgadz4xbubbd3co6jzoj-1","964mil","376mil","964mil","376mil","922.661mil","376mil","T","90.00","0.1uF"
"D2","PCB-pc8w7ghvx4b2ajkb2zkc-1","1368mil","1593mil","1368mil","1593mil","1430.008mil","1593mil","T","180.00","1N4148W-7-F"
"J1","USB_connector_B","1380mil","1479mil","1380mil","1479mil","1431.181mil","1459.315mil","T","180.00","MicroUSB-B"
"R4","PCB-3656032-1","1155mil","1431mil","1155mil","1431mil","1155mil","1470.37mil","T","270.00","1.5k"
"R5","R0805_B","1242mil","1284mil","1242mil","1284mil","1242mil","1319mil","T","360.00","22R"
"R11","R0805_B","1161mil","1284mil","1161mil","1284mil","1161mil","1319mil","T","360.00","22R"
"FID1","0.5mm_Fiducial","354mil","2397mil","354mil","2397mil","354mil","2397mil","T","90.00","Fiducials"
"FID2","0.5mm_Fiducial","354mil","99mil","354mil","99mil","354mil","99mil","T","90.00","Fiducials"
"FID3","0.5mm_Fiducial","2136mil","2397mil","2136mil","2397mil","2136mil","2397mil","T","90.00","Fiducials"

